wikipedia_movie_id,movie_box_office_revenue,currency_revenue,budget,currency_budget,opening_weekend,currency_opening_weekend,rating_score,producer,release_year
11697273,151449.0,$,5000000.0,$,8844.0,$,6.5,Stuart Gordon,2009.0
17365387,22955544.0,$,14000000.0,$,5948555.0,$,6.5,David Twohy,2009.0
3671998,37170057.0,$,12000000.0,$,6203835.0,$,6.1,Brian De Palma,1992.0
27511014,20967660.0,$,10000000.0,$,77161.0,$,7.2,John H. Lee,2010.0
6090730,190075.0,$,,,,,7.0,Marcelo Piñeyro,2000.0
2571604,145166804.0,$,19000000.0,$,30054300.0,$,6.7,Scott Derrickson,2005.0
15726696,68282844.0,$,8500000.0,$,14611273.0,$,5.9,Dave Filoni,2008.0
2814516,,,2563000.0,$,,,6.1,Charles Walters,1952.0
534778,20560255.0,$,13000000.0,$,5718940.0,$,5.2,Jack Bender,1991.0
24978786,84093.0,$,,,58662.0,$,4.3,Dave Christiano,2008.0
20535192,,,,,,,7.2,Denis Villeneuve,2009.0
347235,19721741.0,$,8000000.0,$,6667118.0,$,6.4,Wes Craven,1994.0
23784006,81600000.0,$,3500000.0,$,,,7.3,Robert Altman,1970.0
30553238,179379533.0,$,65000000.0,$,17435092.0,$,6.5,Larry Charles,2012.0
18716845,,,1300000.0,$,,,6.5,Don Weis,1953.0
20688153,131856927.0,$,78000000.0,€,,,5.2,Frédéric Forestier,2008.0
23252763,743559645.0,$,200000000.0,$,82429469.0,$,7.2,Dan Scanlon,2013.0
31371925,4776272.0,$,30000000.0,CN¥,43372.0,$,7.5,Ann Hui,2012.0
1577984,21142914.0,$,12000000.0,$,5811664.0,$,6.9,David Koepp,1999.0
6767366,332863.0,$,,,,,5.1,Rajsekhar,2008.0
15122117,44734660.0,$,6000000.0,$,202714.0,$,7.9,Darren Aronofsky,2009.0
1129583,131977904.0,$,65000000.0,$,16100000.0,$,5.8,David S. Goyer,2004.0
648921,245676146.0,$,80000000.0,$,23387530.0,$,7.3,John Woo,1997.0
2825783,8891623.0,$,28000000.0,$,3102191.0,$,6.7,Jay Roach,1999.0
644845,35242897.0,$,80000000.0,$,8311290.0,$,6.1,Ron Howard,1999.0
1544670,18066.0,$,3000000.0,$,,,7.0,Robert Aldrich,1954.0
16751513,39952437.0,$,11000000.0,$,10527799.0,$,7.2,Gina Prince-Bythewood,2008.0
174560,670213.0,$,3000000.0,$,526633.0,$,7.8,Mel Stuart,1971.0
10827382,11208511.0,$,,,,,5.6,Moon-il Jang,2007.0
2887314,23371905.0,$,13500000.0,$,2105729.0,$,6.3,John Irvin,1981.0
8004988,1000000.0,$,9000000.0,$,,,6.3,Dick Richards,1977.0
2932827,5571205.0,$,,,2678372.0,$,6.9,Vondie Curtis-Hall,1997.0
14812466,4091378.0,$,10000000.0,$,32065.0,$,7.5,Tom Hooper,2009.0
1898116,53293628.0,$,35000000.0,$,13303724.0,$,6.9,Michael Tollin,2003.0
9907431,,,242000.0,$,,,2.5,Michael Rissi,1993.0
33382022,18033727.0,$,,,,,6.9,Naoto Kumazawa,2023.0
16747410,44462.0,$,3500000.0,$,13265.0,$,6.7,Peter Stebbings,2010.0
16072264,6149983.0,$,1250000.0,$,2252682.0,$,5.0,Paul Nicholas,1983.0
9309429,,,2125000.0,$,,,7.9,Robert Rossen,1961.0
21427848,125400.0,$,,,,,6.8,Luis Mandoki,1987.0
1357356,343786.0,$,3000000.0,$,133330.0,$,5.7,Bill Fishman,1988.0
3140828,2602098.0,$,10000000.0,$,19487.0,$,6.7,Jieho Lee,2008.0
8753860,14000000.0,$,12000000.0,$,3044927.0,$,5.8,Michael Ritchie,1983.0
945305,33013805.0,$,30000000.0,$,87199.0,$,7.0,George Clooney,2003.0
32984773,987883.0,$,,,15254.0,$,6.5,Mateo Gil,2011.0
12361350,,,150000.0,$,,,6.4,Arthur Lubin,1950.0
842825,23337631.0,$,70000000.0,$,5732614.0,$,8.1,Brad Bird,1999.0
12839891,4205000.0,$,,,2563365.0,$,5.9,Mark Herrier,1991.0
17404922,14374652.0,$,8500000.0,$,189703.0,$,6.9,Jane Campion,2009.0
13861985,5812781.0,$,20000000.0,$,2283360.0,$,4.8,Lance Rivera,2007.0
26968376,7736632.0,$,7000000.0,€,77937.0,$,7.2,Abbas Kiarostami,2011.0
1681132,60864870.0,$,30000000.0,$,16096808.0,$,6.1,Eddie Murphy,1989.0
383455,,,33000.0,$,,,6.2,Gerard Damiano,1973.0
2254896,,,6000000.0,$,,,6.1,Robert Wise,1956.0
12099955,354628.0,$,3500000.0,£,4597.0,$,5.3,Madonna,2008.0
2372989,3531971.0,$,18000000.0,$,36505.0,$,5.9,Norman Jewison,1989.0
35766264,,,,,,,5.9,Lloyd Bacon,1951.0
6218427,42538.0,$,,,28665.0,$,5.2,Andrew Black,2007.0
2701438,2586033.0,$,,,4430.0,$,6.9,Sarah Watt,2005.0
21032415,,,,,,,6.6,George Marshall,1954.0
13814165,85897593.0,$,30000000.0,$,18505530.0,$,2.8,Jason Friedberg,2008.0
19583175,659483.0,$,1100000.0,$,51197.0,$,6.3,Marc Fienberg,2009.0
876592,,,,,,,5.9,Robert Gordon,1955.0
1631497,74189677.0,$,18000000.0,$,10106500.0,$,6.2,John Woo,1993.0
36243056,7856048.0,$,2500000.0,$,,,5.7,Tomas Portella,2011.0
34480764,245724603.0,$,135000000.0,$,38079323.0,$,7.3,Gore Verbinski,2011.0
2547451,43805.0,$,3600000.0,$,5746.0,$,6.6,Steve Buscemi,2000.0
1524596,371594210.0,$,70000000.0,$,43142214.0,$,6.6,Andy Tennant,2005.0
27754718,177584879.0,$,66000000.0,$,7515402.0,$,7.2,Steven Spielberg,2011.0
5010137,4603929.0,$,17000000.0,$,1867201.0,$,6.5,Peter Faiman,1991.0
12985644,6451106.0,$,,,3187153.0,$,3.0,Alejandro Chomski,2007.0
14281865,,,,,,,7.2,Norman Taurog,1952.0
3569329,31387164.0,$,30000000.0,$,8041972.0,$,5.2,Steve Rash,1996.0
633883,199043471.0,$,60000000.0,$,14328494.0,$,6.2,Marc Lawrence,2002.0
323715,497409852.0,$,175000000.0,$,46865412.0,$,7.3,Wolfgang Petersen,2004.0
3105139,41083864.0,$,42000000.0,$,12210868.0,$,6.6,Barbra Streisand,1996.0
31667694,,,,,,,4.9,Herbert Brenon,1931.0
21088389,74236951.0,$,,,74945.0,$,8.0,Yôjirô Takita,2009.0
8776448,10371998.0,$,4700000.0,$,,,7.3,Ha Yoo,2006.0
1848371,52864741.0,$,,,6404783.0,$,6.2,Arthur Hiller,1987.0
231829,48453541.0,$,37000000.0,$,193604.0,$,8.0,Paul Thomas Anderson,2000.0
5076487,42013878.0,$,25000000.0,$,9833340.0,$,6.5,Ken Kwapis,2005.0
948223,15379253.0,$,20000000.0,$,2991605.0,$,6.4,James Orr,1990.0
705267,23726793.0,$,12000000.0,$,97625.0,$,5.4,Jane Campion,2003.0
3606413,8694320.0,$,30000000.0,$,3022523.0,$,6.1,Gary Fleder,2002.0
10206962,33426588.0,$,55000000.0,$,5808919.0,$,7.2,Curtis Hanson,2000.0
624505,12556.0,$,,,,,6.7,Mark Robson,1954.0
2450545,33296457.0,$,30000000.0,$,6147294.0,$,5.1,Bruce Hunt,2005.0
28847751,7313485.0,$,,,53730.0,$,7.4,Icíar Bollaín,2011.0
2705562,,,627000.0,$,,,6.6,Charles Lamont,1951.0
27328338,20529194.0,$,15000000.0,$,30452.0,$,6.3,Shana Feste,2011.0
31754231,73258078.0,$,17000000.0,€,361359.0,$,6.3,Woody Allen,2012.0
20669402,8221999.0,$,,,,,7.2,Seok-beom Kang,2006.0
921891,56489558.0,$,25000000.0,$,16521468.0,$,5.8,Andrzej Bartkowiak,2003.0
4399897,29625761.0,$,45000000.0,$,667784.0,$,7.3,Julie Taymor,2007.0
15703454,22818256.0,$,8000000.0,$,8003421.0,$,5.9,Carter Smith,2008.0
876872,48919043.0,$,47000000.0,$,14117545.0,$,6.8,Barry Sonnenfeld,1993.0
35874076,376152455.0,$,45000000.0,$,49514769.0,$,6.2,Olivier Megaton,2012.0
22322537,6033999.0,$,2000000.0,$,2184633.0,$,4.9,Dave Meyers,1999.0
31272988,,,17500000.0,$,,,6.0,William Lau,2011.0
443556,58469210.0,$,8000000.0,$,86831.0,$,7.3,Patty Jenkins,2004.0
2623071,23562716.0,$,35000000.0,$,5091027.0,$,6.5,John Landis,1991.0
573304,6933459.0,$,1000000.0,$,134870.0,$,7.6,Ang Lee,1993.0
1853921,57405220.0,$,25000000.0,$,9525375.0,$,5.1,Penelope Spheeris,1993.0
886892,948.0,$,800000.0,A$,,,7.8,Bruce Beresford,1980.0
303847,2581012.0,$,,,78151.0,$,6.9,Richard Kwietniowski,1998.0
248601,2368408.0,$,560000.0,$,50445.0,$,7.5,Richard Lester,1964.0
5721992,18389402.0,$,8000000.0,$,,,5.6,John Frankenheimer,1979.0
6443785,13105853.0,$,38000000.0,$,4051921.0,$,5.6,Michael Dinner,2000.0
11505804,,,,,,,5.5,Shirô Moritani,1975.0
2241842,3653588.0,$,3300000.0,€,70773.0,$,6.0,Antonio Serrano,2003.0
1570843,,,230000.0,$,,,6.3,Wes Craven,1977.0
833502,2554476.0,$,5300000.0,$,411597.0,$,6.9,Abel Ferrara,1991.0
9653770,,,,,,,6.4,Edmund Goulding,1952.0
34600874,1207241.0,$,,,,,6.2,Regan Hall,2012.0
818002,177841558.0,$,70000000.0,$,23162542.0,$,6.5,Bruce Beresford,1999.0
2137591,9183673.0,$,800000.0,$,,,7.1,Rex Ingram,1921.0
27490108,208152.0,$,,,,,5.3,Peter Douglas,1988.0
23092448,310650585.0,$,100000000.0,$,30833665.0,$,5.5,Paul Weitz,2010.0
6095252,,,,,,,6.6,Victor Schertzinger,1940.0
24652963,,,458000.0,$,,,6.3,Edward H. Griffith,1932.0
339526,594039.0,$,400000.0,FRF,32424.0,$,7.7,Jean-Luc Godard,1961.0
961777,35419397.0,$,20000000.0,$,3514678.0,$,6.7,Richard Benjamin,1990.0
2541839,110879513.0,$,19000000.0,$,10017840.0,$,6.8,Harold Becker,1989.0
98508,,,12000000.0,$,,,7.5,Robert Wise,1966.0
5883086,14203236.0,$,27000000.0,$,222919.0,$,6.2,Richard Attenborough,1985.0
10753947,101344412.0,$,39000000.0,$,18623171.0,$,7.1,Robert Schwentke,2009.0
7400070,1015122.0,$,,,,,7.2,Raymond De Felitta,2000.0
3422774,14515490.0,$,20000000.0,$,6309583.0,$,5.4,Marco Brambilla,1997.0
98506,,,3900000.0,$,,,7.0,Norman Jewison,1966.0
14795399,,,529000.0,$,,,6.0,Paul Sloane,1930.0
1267713,210002906.0,$,17000000.0,$,14089952.0,$,7.6,Alejandro Amenábar,2001.0
26428662,346851.0,$,3800000.0,$,5955.0,$,6.8,Dagur Kári,2010.0
2159529,,,3000000.0,$,,,5.7,Jack Smight,1974.0
565318,136159423.0,$,80000000.0,$,20154919.0,$,5.2,Stephen Hopkins,1998.0
6034681,,,722000.0,$,,,7.0,John Cromwell,1939.0
1384107,63102666.0,$,17000000.0,$,15269324.0,$,5.7,Victor Salva,2003.0
2559661,13419977.0,$,,,,,6.8,Young-hoon Park,2005.0
600194,14110589.0,$,30000000.0,$,5556451.0,$,4.8,Ralph Bakshi,1992.0
3238135,13818181.0,$,12000000.0,$,5500000.0,$,2.1,Uwe Boll,2003.0
14872132,9723970.0,$,,,,,6.3,Mi-jung Kim,2007.0
