wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
685832,25893810.0,27000000.0,4739913.0,6.8,Joe Dante,1987
685931,32704700.0,15000000.0,5372880.0,4.9,Brian Levant,1991
689785,32078318.0,13000000.0,4316369.0,7.1,Jonathan Kaplan,1988
689980,93107289.0,60000000.0,10104715.0,6.1,Harold Becker,1998
690131,15240435.0,25000000.0,5012200.0,5.2,Jonathan Kaplan,1994
690868,,1214899.0,,7.0,John Ford,1950
692670,24147179.0,10000000.0,7943778.0,6.9,Albert Hughes,1995
695227,227853986.0,28000000.0,20388800.0,7.3,Richard Donner,1989
696925,,450000.0,,6.1,Roger Corman,1967
701775,3987768.0,15000000.0,1435709.0,6.6,Carlo Carlei,1995
702217,12881605.0,27000000.0,2817719.0,6.3,Ronny Yu,2002
702506,17487531.0,,1078697.0,6.5,Luis Mandoki,1990
702632,30077111.0,,7039608.0,5.1,Dwight H. Little,1995
704063,8345056.0,28000000.0,2732880.0,5.3,Michael Ritchie,1997
704427,163348.0,1800000.0,61613.0,6.5,Pete Jones,2003
706370,34861807.0,,6769363.0,6.3,Michael Lehmann,1996
706861,21089146.0,13000000.0,10019555.0,6.7,Ernest R. Dickerson,1995
707823,5899797.0,29000000.0,318723.0,7.4,Richard Attenborough,1987
708479,117758500.0,65000000.0,19208806.0,6.4,Les Mayfield,1999
710906,17359799.0,,5012295.0,5.3,Howard Zieff,1994
715207,770.0,350000.0,,6.2,Robert Hiltzik,1983
722551,19885552.0,15000000.0,6116484.0,6.5,Robert Lieberman,1993
723582,,,,6.5,Ken Annakin,1952
725817,186303759.0,20000000.0,11441733.0,5.3,Steve Trenbirth,2003
731501,16639799.0,8000000.0,3451356.0,7.0,Bill Duke,1992
733901,20016254.0,,4328543.0,6.7,Alek Keshishian,1994
733910,20208496.0,,5418316.0,5.6,John Badham,1993
735240,28818995.0,26000000.0,8014005.0,4.6,Kevin Allen,2004
737797,5979011.0,7000000.0,1709120.0,5.7,Ernest Thompson,1988
737840,26570463.0,25000000.0,7600878.0,5.1,Anthony Waller,1997
739259,39337581.0,16000000.0,7531273.0,5.9,Blake Edwards,1987
739821,7840873.0,10000000.0,2649832.0,6.3,Simon Wincer,1985
748953,15250594.0,10000000.0,60029.0,7.1,Takeshi Kitano,2000
766348,8125592.0,14500000.0,2847690.0,6.1,John Frankenheimer,1989
770066,9640000.0,10000000.0,24443.0,6.6,Richard Pearce,1984
770083,9085049.0,,2161284.0,7.0,Karel Reisz,1985
770098,10870198.0,22000000.0,136148.0,6.8,Shinji Takagi,2005
770128,6263883.0,18000000.0,19381.0,7.3,Costa-Gavras,1990
770144,18428904.0,13000000.0,3313815.0,6.9,Steve Kloves,1989
770184,13446769.0,,71034.0,6.9,Stephen Frears,1991
770260,23202444.0,40000000.0,71348.0,6.4,Mark Rydell,1991
770348,3359465.0,16000000.0,763890.0,6.4,Tony Richardson,1994
779884,316199.0,3000000.0,31401.0,5.7,Michael Hoffman,1988
781724,538534.0,,21968.0,6.2,Brian Gilbert,1994
785210,623112.0,,,6.0,Paul Morrissey,1988
787273,418807.0,20000000.0,59517.0,6.3,Herbert Ross,1991
797330,8571374.0,4000000.0,1913389.0,6.6,Rick Moranis,1983
797349,162364.0,4248000.0,,6.3,Daniel Petrie,1985
803786,340139.0,8000000.0,131269.0,6.4,Agnieszka Holland,1995
805037,13609396.0,6000000.0,5024976.0,5.8,Alan Shapiro,1993
805053,6568101.0,2500000.0,1423537.0,8.1,Richard Linklater,1995
805120,16505440.0,2700000.0,219425.0,8.1,Richard Linklater,2004
807842,299965036.0,27000000.0,26348555.0,6.6,Tony Scott,1987
817905,1239183.0,1000000.0,35636.0,6.9,Don Coscarelli,2003
818234,12526677.0,21000000.0,4088955.0,6.6,Stephen Hopkins,1993
820919,60106536.0,22000000.0,8614039.0,6.4,John Landis,1985
825149,52487045.0,23000000.0,8327550.0,5.4,David S. Ward,1991
826441,16100000.0,2000000.0,,6.0,Michael Winner,1982
826482,8038722.0,13000000.0,3012180.0,7.2,David Cronenberg,1988
835057,,9000000.0,,7.3,Arthur Hiller,1979
839705,27007143.0,13000000.0,10809424.0,6.1,Kirk Wong,1998
840058,1800.0,439000.0,,7.3,Lloyd Bacon,1933
844315,4162334.0,,6462.0,7.6,Luis Buñuel,1968
845403,9528.0,1920000.0,,7.5,Robert Wise,1956
845738,17637950.0,20000000.0,4359424.0,6.8,Roman Polanski,1988
846311,15945534.0,12000000.0,4348276.0,5.7,Mark L. Lester,1986
