wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue_x,movie_runtime,movie_languages,movie_countries,movie_genres
5930384,/m/0ff1st,Black Snake Moan,2006.0,10903846.0,116.0,['English Language'],['United States of America'],"['Music', 'Romance Film', 'Drama', 'Indie']"
10511883,/m/02qg9yn,Storm Warning,1951.0,1250000.0,93.0,['English Language'],['United States of America'],"['Drama', 'Black-and-white']"
1703740,/m/05pr8b,Big Trouble,2002.0,8493890.0,85.0,['English Language'],['United States of America'],"['Crime Fiction', 'Gangster Film', 'Action/Adventure', 'Comedy', 'Black comedy', 'Action']"
18066576,/m/047myg9,The Last Station,2009.0,10332256.0,113.0,['English Language'],"['Russia', 'United Kingdom', 'Germany']","['Biography', 'World cinema', 'History', 'Biopic [feature]', 'Period piece', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film']"
18965892,/m/04jmnc7,Lymelife,2008.0,526245.0,93.0,['English Language'],['United States of America'],"['Indie', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Coming of age']"
13838662,/m/03ckwzc,Miracle at St. Anna,2008.0,9290894.0,166.0,"['Italian Language', 'German Language', 'English Language']","['United States of America', 'Italy']","['Crime Fiction', 'Period piece', 'Film adaptation', 'Drama', 'War film']"
58018,/m/0fxb2,Tora! Tora! Tora!,1970.0,29548291.0,144.0,"['Japanese Language', 'English Language']","['United States of America', 'Japan']","['Japanese Movies', 'Historical fiction', 'Action/Adventure', 'Drama', 'War film', 'Action', 'Airplanes and airports']"
19457040,/m/04n5zxd,Sorority Row,2009.0,27206120.0,101.0,['English Language'],['United States of America'],"['Thriller', 'Horror', 'Slasher', 'Teen', 'Indie']"
19380534,/m/04n3swj,Brief Interviews with Hideous Men,2007.0,27935.0,80.0,['English Language'],['United States of America'],"['Romantic comedy', 'Indie', 'Drama', 'Comedy', 'Film adaptation', 'Black comedy', 'Romance Film']"
21052275,/m/05q7cpq,Boondock Saints II: All Saints Day,2009.0,10273188.0,118.0,"['Italian Language', 'English Language', 'Spanish Language']",['United States of America'],"['Thriller', 'Crime Thriller', 'Action', 'Drama', 'Comedy']"
2237779,/m/06y94g,Ernest Goes to Jail,1990.0,25029569.0,81.0,['English Language'],['United States of America'],"['Family Film', ""Children's"", 'Prison', 'Comedy', 'Slapstick']"
